id_asignacion,id_empleado,id_proyecto,rol,fecha_asignacion,estado
1,45,1,Developer,2019-05-08,activo
2,44,1,Developer,2019-05-08,activo
3,24,1,Tester,2019-05-08,activo
4,99,1,Developer,2019-05-08,activo
5,38,1,Tester,2019-05-08,activo
6,105,1,Developer,2019-05-08,activo
7,37,1,Developer,2019-05-08,activo
8,82,1,Developer,2019-05-08,activo
9,111,2,Tester,2022-10-23,finalizado
10,45,2,Developer,2022-10-23,finalizado
11,87,2,Tester,2022-10-23,finalizado
12,33,2,Developer,2022-10-23,finalizado
13,6,2,Developer,2022-10-23,finalizado
14,85,2,Tester,2022-10-23,finalizado
15,33,3,Tester,2019-07-22,finalizado
16,100,3,Developer,2019-07-22,finalizado
17,45,3,Tester,2019-07-22,finalizado
18,106,3,Developer,2019-07-22,finalizado
19,99,3,Tester,2019-07-22,finalizado
20,24,3,Developer,2019-07-22,finalizado
21,22,3,Developer,2019-07-22,finalizado
22,117,3,Developer,2019-07-22,finalizado
23,101,3,Tester,2019-07-22,finalizado
24,74,4,Developer,2016-03-28,finalizado
25,68,4,Tester,2016-03-28,finalizado
26,63,4,Developer,2016-03-28,finalizado
27,33,4,Developer,2016-03-28,finalizado
28,44,4,Developer,2016-03-28,finalizado
29,37,4,Developer,2016-03-28,finalizado
30,51,4,Developer,2016-03-28,finalizado
31,83,5,Developer,2022-09-02,finalizado
32,12,5,Developer,2022-09-02,finalizado
33,38,5,Tester,2022-09-02,finalizado
34,2,5,Tester,2022-09-02,finalizado
35,82,5,Developer,2022-09-02,finalizado
36,70,5,Developer,2022-09-02,finalizado
37,44,5,Developer,2022-09-02,finalizado
38,11,5,Developer,2022-09-02,finalizado
39,85,5,Developer,2022-09-02,finalizado
40,37,6,Tester,2016-11-09,finalizado
41,51,6,Tester,2016-11-09,finalizado
42,68,6,Developer,2016-11-09,finalizado
43,45,6,Developer,2016-11-09,finalizado
44,101,6,Tester,2016-11-09,finalizado
45,60,6,Developer,2016-11-09,finalizado
46,106,6,Developer,2016-11-09,finalizado
47,24,6,Developer,2016-11-09,finalizado
48,16,7,Tester,2023-08-03,finalizado
49,109,7,Developer,2023-08-03,finalizado
50,83,7,Developer,2023-08-03,finalizado
51,67,7,Developer,2023-08-03,finalizado
52,38,8,Developer,2020-03-03,finalizado
53,106,8,Tester,2020-03-03,finalizado
54,15,8,Developer,2020-03-03,finalizado
55,24,8,Developer,2020-03-03,finalizado
56,51,9,Developer,2020-07-01,finalizado
57,73,9,Developer,2020-07-01,finalizado
58,105,9,Tester,2020-07-01,finalizado
59,89,9,Developer,2020-07-01,finalizado
60,17,9,Developer,2020-07-01,finalizado
61,99,10,Developer,2025-09-06,activo
62,35,10,Developer,2025-09-06,activo
63,106,10,Tester,2025-09-06,activo
64,98,10,Developer,2025-09-06,activo
65,112,10,Developer,2025-09-06,activo
66,54,10,Tester,2025-09-06,activo
67,68,11,Tester,2017-02-07,activo
68,106,11,Developer,2017-02-07,activo
69,33,11,Developer,2017-02-07,activo
70,60,11,Developer,2017-02-07,activo
71,2,11,Tester,2017-02-07,activo
72,97,11,Developer,2017-02-07,activo
73,75,11,Tester,2017-02-07,activo
74,18,12,Tester,2020-06-17,finalizado
75,90,12,Developer,2020-06-17,finalizado
76,46,12,Tester,2020-06-17,finalizado
77,38,12,Developer,2020-06-17,finalizado
78,75,12,Developer,2020-06-17,finalizado
79,78,13,Developer,2016-11-26,finalizado
80,117,13,Tester,2016-11-26,finalizado
81,30,13,Developer,2016-11-26,finalizado
82,74,13,Developer,2016-11-26,finalizado
83,101,13,Developer,2016-11-26,finalizado
84,66,13,Developer,2016-11-26,finalizado
85,11,13,Developer,2016-11-26,finalizado
86,2,13,Developer,2016-11-26,finalizado
87,30,14,Developer,2022-12-10,finalizado
88,44,14,Tester,2022-12-10,finalizado
89,45,14,Tester,2022-12-10,finalizado
90,96,14,Tester,2022-12-10,finalizado
91,38,14,Tester,2022-12-10,finalizado
92,13,14,Developer,2022-12-10,finalizado
93,3,15,Developer,2017-05-28,finalizado
94,74,15,Developer,2017-05-28,finalizado
95,44,15,Developer,2017-05-28,finalizado
96,15,15,Developer,2017-05-28,finalizado
97,101,16,Developer,2016-05-02,finalizado
98,33,16,Tester,2016-05-02,finalizado
99,15,16,Developer,2016-05-02,finalizado
100,106,16,Developer,2016-05-02,finalizado
101,44,16,Tester,2016-05-02,finalizado
102,74,16,Developer,2016-05-02,finalizado
103,76,16,Developer,2016-05-02,finalizado
104,100,17,Developer,2021-05-20,finalizado
105,8,17,Tester,2021-05-20,finalizado
106,17,17,Developer,2021-05-20,finalizado
107,87,17,Tester,2021-05-20,finalizado
108,56,17,Tester,2021-05-20,finalizado
109,30,17,Developer,2021-05-20,finalizado
110,88,17,Developer,2021-05-20,finalizado
111,44,17,Tester,2021-05-20,finalizado
112,24,18,Developer,2022-05-18,finalizado
113,82,18,Developer,2022-05-18,finalizado
114,56,18,Tester,2022-05-18,finalizado
115,89,18,Tester,2022-05-18,finalizado
116,86,19,Developer,2020-09-27,finalizado
117,102,19,Tester,2020-09-27,finalizado
118,46,19,Developer,2020-09-27,finalizado
119,99,19,Developer,2020-09-27,finalizado
