id_cliente,nombre_cliente,correo,telefono,industria,pais,ciudad,nivel_satisfaccion
1,Durán-Pedraza,ezarate@despacho.com,391.751.2030x039,Modisto,Luxemburgo,Nueva Lituania,5
2,Parra y Osorio S. R.L. de C.V.,lfarias@barrios.biz,+10(3)0732935872,Fotógrafo,Luxemburgo,San Soledad de la Montaña,3
3,Proyectos Zambrano-Benítez,berta17@muro-gonzales.com,+13(8)1030192008,Trabajador social de nivel medio,Madagascar,Vieja Islandia,3
4,"Industrias Riojas, Marroquín y Verdugo",andrea48@corporacin.com,1-915-102-4387x7317,Deportista,Kazajstán,Nueva Vietman,5
5,Barraza y Carvajal S.C.,florencia73@carreon-valle.com,318.931.1006x4384,Operador de máquinas de movimiento de tierras,Serbia,San Mercedes de la Montaña,2
6,Esparza-Galván A.C.,maria-eugenia10@proyectos.com,930-525-6920,Operador de máquinas lavarropas,Lesotho,Nueva Papua Nueva Guinea,5
7,Industrias Saldaña-Gastélum,luis-miguelrobledo@ornelas.com,303-933-8661x316,Técnico en química industrial,China,Vieja Filipinas,3
8,Rubio y Gastélum S.C.,barragananabel@olivarez.info,702.163.0689x57463,Director de industrias manufactureras,Kazajstán,Nueva Togo,2
9,Despacho Cano-Macías,dario87@corporacin.biz,028-960-7396,Pescadero,China,San Rodrigo los bajos,5
10,Vera y Cardenas e Hijos,lucialimon@jimenez.com,1-081-084-3885x432,Técnico en ingeniería de minas y metalurgia,Santa Lucía,San Clemente los bajos,3
11,Coronado-Torres,xlerma@ornelas.com,1-606-502-0826,Trabajador pecuario de subsistencia,Kazajstán,San Ignacio de la Montaña,4
12,"Santillán, Alarcón y Carbajal",cornejoamalia@chavez.biz,204-289-7987,Contable,Sudán,Nueva Sudáfrica,2
13,de Jesús e Hijos,alejandra72@botello.com,1-486-245-2855,Técnico en operaciones de tecnología de la información y las comunicaciones,Kirguistán,San Alfredo de la Montaña,2
14,Romero-de Anda A.C.,pablo81@despacho.com,(870)372-4894x6184,Conductor de vehículos accionados a pedal o a brazo,Lesotho,San Isabel de la Montaña,4
15,Esquivel-Ríos,barelalaura@leal.com,(935)704-1120x91612,Secretario ejecutivo,Madagascar,Nueva Seychelles,2
16,Club Robles y Ocasio,rojobernabe@escamilla.com,1-417-277-1159,"Operador de máquinas de blanqueamiento, teñido y limpieza de tejidos",Madagascar,San Itzel de la Montaña,2
17,"Avilés, Rincón y Durán",usalgado@industrias.com,538-287-7785,Maestro preescolar,Lesotho,Nueva Togo,3
18,Salcido-Niño S.A.,nayelivalle@rivero-badillo.com,501.657.7568x966,Fontanero,Luxemburgo,Vieja Singapur,2
19,"Club Granado, Villareal y Rivera",almanzaanabel@corporacin.info,240-455-8721x4839,Guardagujas,Santa Lucía,Nueva Zimbabwe,2
20,"Márquez, Carbajal y Aranda",maria-del-carmenvega@rendon.info,868-338-5773,Analista de sistemas,Serbia,San Zoé los bajos,3
