id_prueba,id_asignacion,descripcion,tipo,fecha_ejecucion,resultado,severidad_defecto,tiempo_resolucion_horas
1,3,Prueba auto 1,sistema,2019-06-20,éxito,nula,0
2,3,Prueba auto 2,integración,2019-06-24,éxito,nula,0
3,3,Prueba auto 3,integración,2019-06-26,éxito,nula,0
4,3,Prueba auto 4,sistema,2019-06-23,éxito,nula,0
5,3,Prueba auto 5,integración,2019-06-23,éxito,nula,0
6,3,Prueba auto 6,integración,2019-06-23,éxito,nula,0
7,3,Prueba auto 7,integración,2019-06-22,éxito,nula,0
8,3,Prueba auto 8,integración,2019-06-23,éxito,nula,0
9,3,Prueba auto 9,integración,2019-06-16,éxito,nula,0
10,3,Prueba auto 10,sistema,2019-06-21,fallo,alta,6
11,3,Prueba auto 11,sistema,2019-06-29,éxito,nula,0
12,3,Prueba auto 12,sistema,2019-07-04,fallo,baja,6
13,3,Prueba auto 13,sistema,2019-07-01,fallo,crítica,8
14,3,Prueba auto 14,sistema,2019-07-02,éxito,nula,0
15,3,Prueba auto 15,sistema,2019-06-09,éxito,nula,0
16,3,Prueba auto 16,sistema,2019-06-27,éxito,nula,0
17,3,Prueba auto 17,integración,2019-06-17,éxito,nula,0
18,3,Prueba auto 18,integración,2019-06-18,éxito,nula,0
19,3,Prueba auto 19,sistema,2019-07-01,fallo,crítica,7
20,3,Prueba auto 20,integración,2019-06-05,éxito,nula,0
21,3,Prueba auto 21,sistema,2019-06-24,éxito,nula,0
22,3,Prueba auto 22,integración,2019-07-03,éxito,nula,0
23,3,Prueba auto 23,sistema,2019-06-11,éxito,nula,0
24,3,Prueba auto 24,sistema,2019-07-02,fallo,media,3
25,3,Prueba auto 25,integración,2019-05-31,éxito,nula,0
26,3,Prueba auto 26,integración,2019-07-07,éxito,nula,0
27,3,Prueba auto 27,sistema,2019-07-04,éxito,nula,0
28,3,Prueba auto 28,integración,2019-06-15,fallo,media,7
29,3,Prueba auto 29,integración,2019-06-27,éxito,nula,0
30,3,Prueba auto 30,integración,2019-06-27,éxito,nula,0
31,3,Prueba auto 31,sistema,2019-06-22,éxito,nula,0
32,5,Prueba auto 32,integración,2019-06-10,éxito,nula,0
33,5,Prueba auto 33,integración,2019-06-11,éxito,nula,0
34,5,Prueba auto 34,integración,2019-06-06,éxito,nula,0
