id_tarea,id_asignacion,nombre,fecha_asignacion,fecha_limite,estado,tiempo_estimado,tiempo_real,prioridad
1,1,Tarea genérica 1,2019-06-06,2019-06-11,pendiente,5.0,5.5,media
2,1,Tarea genérica 2,2019-06-17,2019-06-22,pendiente,5.0,5.5,media
3,1,Tarea genérica 3,2019-05-27,2019-06-01,pendiente,5.0,5.5,media
4,1,Tarea genérica 4,2019-05-12,2019-05-17,pendiente,5.0,5.5,media
5,1,Tarea genérica 5,2019-06-01,2019-06-06,pendiente,5.0,5.5,media
6,1,Tarea genérica 6,2019-06-05,2019-06-10,pendiente,5.0,5.5,media
7,1,Tarea genérica 7,2019-05-25,2019-05-30,pendiente,5.0,5.5,media
8,2,Tarea genérica 8,2019-05-20,2019-05-25,pendiente,5.0,5.5,media
9,2,Tarea genérica 9,2019-05-28,2019-06-02,pendiente,5.0,5.5,media
10,2,Tarea genérica 10,2019-07-02,2019-07-07,pendiente,5.0,5.5,media
11,2,Tarea genérica 11,2019-05-16,2019-05-21,pendiente,5.0,5.5,media
12,2,Tarea genérica 12,2019-06-13,2019-06-18,pendiente,5.0,5.5,media
13,2,Tarea genérica 13,2019-06-14,2019-06-19,pendiente,5.0,5.5,media
14,2,Tarea genérica 14,2019-06-16,2019-06-21,pendiente,5.0,5.5,media
15,2,Tarea genérica 15,2019-05-12,2019-05-17,pendiente,5.0,5.5,media
16,3,Tarea genérica 16,2019-05-21,2019-05-26,pendiente,5.0,5.5,media
17,3,Tarea genérica 17,2019-05-22,2019-05-27,pendiente,5.0,5.5,media
18,3,Tarea genérica 18,2019-06-19,2019-06-24,pendiente,5.0,5.5,media
19,3,Tarea genérica 19,2019-05-31,2019-06-05,pendiente,5.0,5.5,media
20,4,Tarea genérica 20,2019-06-05,2019-06-10,pendiente,5.0,5.5,media
21,4,Tarea genérica 21,2019-06-14,2019-06-19,pendiente,5.0,5.5,media
22,4,Tarea genérica 22,2019-06-21,2019-06-26,pendiente,5.0,5.5,media
23,4,Tarea genérica 23,2019-05-30,2019-06-04,pendiente,5.0,5.5,media
24,5,Tarea genérica 24,2019-05-21,2019-05-26,pendiente,5.0,5.5,media
25,5,Tarea genérica 25,2019-05-28,2019-06-02,pendiente,5.0,5.5,media
26,5,Tarea genérica 26,2019-05-16,2019-05-21,pendiente,5.0,5.5,media
27,5,Tarea genérica 27,2019-07-05,2019-07-10,pendiente,5.0,5.5,media
28,5,Tarea genérica 28,2019-06-18,2019-06-23,pendiente,5.0,5.5,media
29,6,Tarea genérica 29,2019-05-28,2019-06-02,pendiente,5.0,5.5,media
30,6,Tarea genérica 30,2019-05-10,2019-05-15,pendiente,5.0,5.5,media
31,6,Tarea genérica 31,2019-05-26,2019-05-31,pendiente,5.0,5.5,media
32,6,Tarea genérica 32,2019-06-12,2019-06-17,pendiente,5.0,5.5,media
33,6,Tarea genérica 33,2019-06-24,2019-06-29,pendiente,5.0,5.5,media
34,6,Tarea genérica 34,2019-06-17,2019-06-22,pendiente,5.0,5.5,media
35,6,Tarea genérica 35,2019-06-10,2019-06-15,pendiente,5.0,5.5,media
36,6,Tarea genérica 36,2019-06-06,2019-06-11,pendiente,5.0,5.5,media
37,7,Tarea genérica 37,2019-06-16,2019-06-21,pendiente,5.0,5.5,media
38,7,Tarea genérica 38,2019-07-10,2019-07-15,pendiente,5.0,5.5,media
39,7,Tarea genérica 39,2019-06-29,2019-07-04,pendiente,5.0,5.5,media
40,7,Tarea genérica 40,2019-06-19,2019-06-24,pendiente,5.0,5.5,media
41,7,Tarea genérica 41,2019-06-02,2019-06-07,pendiente,5.0,5.5,media
42,7,Tarea genérica 42,2019-05-12,2019-05-17,pendiente,5.0,5.5,media
43,7,Tarea genérica 43,2019-05-19,2019-05-24,pendiente,5.0,5.5,media
44,7,Tarea genérica 44,2019-06-13,2019-06-18,pendiente,5.0,5.5,media
45,8,Tarea genérica 45,2019-05-19,2019-05-24,pendiente,5.0,5.5,media
46,8,Tarea genérica 46,2019-05-23,2019-05-28,pendiente,5.0,5.5,media
47,8,Tarea genérica 47,2019-05-26,2019-05-31,pendiente,5.0,5.5,media
48,8,Tarea genérica 48,2019-06-15,2019-06-20,pendiente,5.0,5.5,media
49,9,Tarea genérica 49,2022-10-28,2022-11-02,completada,5.0,5.5,media
50,9,Tarea genérica 50,2023-07-19,2023-07-24,completada,5.0,5.5,media
51,9,Tarea genérica 51,2023-10-05,2023-10-10,completada,5.0,5.5,media
52,9,Tarea genérica 52,2022-11-20,2022-11-25,completada,5.0,5.5,media
53,9,Tarea genérica 53,2022-11-12,2022-11-17,completada,5.0,5.5,media
54,9,Tarea genérica 54,2023-12-15,2023-12-20,completada,5.0,5.5,media
55,10,Tarea genérica 55,2023-05-26,2023-05-31,completada,5.0,5.5,media
56,10,Tarea genérica 56,2023-11-26,2023-12-01,completada,5.0,5.5,media
57,10,Tarea genérica 57,2023-02-05,2023-02-10,completada,5.0,5.5,media
58,11,Tarea genérica 58,2022-12-22,2022-12-27,completada,5.0,5.5,media
59,11,Tarea genérica 59,2023-08-28,2023-09-02,completada,5.0,5.5,media
60,11,Tarea genérica 60,2023-02-09,2023-02-14,completada,5.0,5.5,media
61,12,Tarea genérica 61,2023-10-29,2023-11-03,completada,5.0,5.5,media
62,12,Tarea genérica 62,2022-11-06,2022-11-11,completada,5.0,5.5,media
63,12,Tarea genérica 63,2023-01-29,2023-02-03,completada,5.0,5.5,media
64,12,Tarea genérica 64,2023-03-15,2023-03-20,completada,5.0,5.5,media
65,12,Tarea genérica 65,2023-11-05,2023-11-10,completada,5.0,5.5,media
66,12,Tarea genérica 66,2023-05-31,2023-06-05,completada,5.0,5.5,media
67,12,Tarea genérica 67,2023-06-16,2023-06-21,completada,5.0,5.5,media
68,13,Tarea genérica 68,2023-09-16,2023-09-21,completada,5.0,5.5,media
69,13,Tarea genérica 69,2023-12-11,2023-12-16,completada,5.0,5.5,media
70,13,Tarea genérica 70,2023-05-23,2023-05-28,completada,5.0,5.5,media
71,13,Tarea genérica 71,2023-08-17,2023-08-22,completada,5.0,5.5,media
72,13,Tarea genérica 72,2023-01-31,2023-02-05,completada,5.0,5.5,media
73,13,Tarea genérica 73,2023-09-26,2023-10-01,completada,5.0,5.5,media
74,13,Tarea genérica 74,2023-09-15,2023-09-20,completada,5.0,5.5,media
75,14,Tarea genérica 75,2023-10-02,2023-10-07,completada,5.0,5.5,media
76,14,Tarea genérica 76,2023-06-08,2023-06-13,completada,5.0,5.5,media
77,14,Tarea genérica 77,2023-05-14,2023-05-19,completada,5.0,5.5,media
78,14,Tarea genérica 78,2023-05-14,2023-05-19,completada,5.0,5.5,media
79,15,Tarea genérica 79,2019-09-15,2019-09-20,completada,5.0,5.5,media
80,15,Tarea genérica 80,2019-09-17,2019-09-22,completada,5.0,5.5,media
81,15,Tarea genérica 81,2019-10-23,2019-10-28,completada,5.0,5.5,media
82,16,Tarea genérica 82,2019-08-07,2019-08-12,completada,5.0,5.5,media
83,16,Tarea genérica 83,2019-10-09,2019-10-14,completada,5.0,5.5,media
84,16,Tarea genérica 84,2019-10-11,2019-10-16,completada,5.0,5.5,media
85,16,Tarea genérica 85,2019-09-27,2019-10-02,completada,5.0,5.5,media
86,16,Tarea genérica 86,2020-01-03,2020-01-08,completada,5.0,5.5,media
87,17,Tarea genérica 87,2019-08-21,2019-08-26,completada,5.0,5.5,media
88,17,Tarea genérica 88,2019-08-25,2019-08-30,completada,5.0,5.5,media
89,17,Tarea genérica 89,2019-12-17,2019-12-22,completada,5.0,5.5,media
90,17,Tarea genérica 90,2019-10-11,2019-10-16,completada,5.0,5.5,media
91,18,Tarea genérica 91,2019-09-22,2019-09-27,completada,5.0,5.5,media
92,18,Tarea genérica 92,2019-09-13,2019-09-18,completada,5.0,5.5,media
93,18,Tarea genérica 93,2019-10-26,2019-10-31,completada,5.0,5.5,media
94,18,Tarea genérica 94,2019-10-04,2019-10-09,completada,5.0,5.5,media
95,18,Tarea genérica 95,2019-12-29,2020-01-03,completada,5.0,5.5,media
96,18,Tarea genérica 96,2019-10-21,2019-10-26,completada,5.0,5.5,media
97,18,Tarea genérica 97,2019-09-21,2019-09-26,completada,5.0,5.5,media
98,18,Tarea genérica 98,2019-08-04,2019-08-09,completada,5.0,5.5,media
99,19,Tarea genérica 99,2020-02-12,2020-02-17,completada,5.0,5.5,media
100,19,Tarea genérica 100,2019-08-12,2019-08-17,completada,5.0,5.5,media
101,19,Tarea genérica 101,2019-10-17,2019-10-22,completada,5.0,5.5,media
102,19,Tarea genérica 102,2020-01-21,2020-01-26,completada,5.0,5.5,media
103,19,Tarea genérica 103,2019-11-27,2019-12-02,completada,5.0,5.5,media
104,19,Tarea genérica 104,2020-02-16,2020-02-21,completada,5.0,5.5,media
105,19,Tarea genérica 105,2019-07-25,2019-07-30,completada,5.0,5.5,media
106,19,Tarea genérica 106,2019-12-01,2019-12-06,completada,5.0,5.5,media
107,20,Tarea genérica 107,2020-01-04,2020-01-09,completada,5.0,5.5,media
108,20,Tarea genérica 108,2019-11-01,2019-11-06,completada,5.0,5.5,media
109,20,Tarea genérica 109,2019-07-27,2019-08-01,completada,5.0,5.5,media
110,21,Tarea genérica 110,2020-01-07,2020-01-12,completada,5.0,5.5,media
111,21,Tarea genérica 111,2020-02-15,2020-02-20,completada,5.0,5.5,media
112,21,Tarea genérica 112,2019-09-15,2019-09-20,completada,5.0,5.5,media
113,21,Tarea genérica 113,2019-10-19,2019-10-24,completada,5.0,5.5,media
114,21,Tarea genérica 114,2019-09-07,2019-09-12,completada,5.0,5.5,media
115,21,Tarea genérica 115,2020-01-05,2020-01-10,completada,5.0,5.5,media
116,22,Tarea genérica 116,2019-08-10,2019-08-15,completada,5.0,5.5,media
117,22,Tarea genérica 117,2020-01-14,2020-01-19,completada,5.0,5.5,media
118,22,Tarea genérica 118,2020-02-07,2020-02-12,completada,5.0,5.5,media
119,22,Tarea genérica 119,2019-12-20,2019-12-25,completada,5.0,5.5,media
120,22,Tarea genérica 120,2019-08-13,2019-08-18,completada,5.0,5.5,media
121,22,Tarea genérica 121,2019-08-09,2019-08-14,completada,5.0,5.5,media
122,22,Tarea genérica 122,2019-12-19,2019-12-24,completada,5.0,5.5,media
123,22,Tarea genérica 123,2019-11-19,2019-11-24,completada,5.0,5.5,media
124,23,Tarea genérica 124,2019-08-03,2019-08-08,completada,5.0,5.5,media
125,23,Tarea genérica 125,2019-08-08,2019-08-13,completada,5.0,5.5,media
126,23,Tarea genérica 126,2020-01-21,2020-01-26,completada,5.0,5.5,media
127,23,Tarea genérica 127,2019-08-23,2019-08-28,completada,5.0,5.5,media
128,24,Tarea genérica 128,2016-10-17,2016-10-22,completada,5.0,5.5,media
129,24,Tarea genérica 129,2016-08-19,2016-08-24,completada,5.0,5.5,media
130,24,Tarea genérica 130,2016-09-19,2016-09-24,completada,5.0,5.5,media
131,25,Tarea genérica 131,2016-04-06,2016-04-11,completada,5.0,5.5,media
132,25,Tarea genérica 132,2016-07-19,2016-07-24,completada,5.0,5.5,media
133,25,Tarea genérica 133,2016-10-31,2016-11-05,completada,5.0,5.5,media
134,25,Tarea genérica 134,2016-12-17,2016-12-22,completada,5.0,5.5,media
135,25,Tarea genérica 135,2016-11-22,2016-11-27,completada,5.0,5.5,media
136,26,Tarea genérica 136,2016-08-04,2016-08-09,completada,5.0,5.5,media
137,26,Tarea genérica 137,2016-11-02,2016-11-07,completada,5.0,5.5,media
138,26,Tarea genérica 138,2017-01-16,2017-01-21,completada,5.0,5.5,media
139,26,Tarea genérica 139,2016-04-19,2016-04-24,completada,5.0,5.5,media
140,27,Tarea genérica 140,2016-04-27,2016-05-02,completada,5.0,5.5,media
141,27,Tarea genérica 141,2016-04-24,2016-04-29,completada,5.0,5.5,media
142,27,Tarea genérica 142,2016-12-30,2017-01-04,completada,5.0,5.5,media
143,27,Tarea genérica 143,2016-06-01,2016-06-06,completada,5.0,5.5,media
144,27,Tarea genérica 144,2016-09-02,2016-09-07,completada,5.0,5.5,media
145,28,Tarea genérica 145,2016-06-13,2016-06-18,completada,5.0,5.5,media
146,28,Tarea genérica 146,2016-12-30,2017-01-04,completada,5.0,5.5,media
147,28,Tarea genérica 147,2016-07-02,2016-07-07,completada,5.0,5.5,media
148,28,Tarea genérica 148,2016-11-15,2016-11-20,completada,5.0,5.5,media
149,28,Tarea genérica 149,2016-08-08,2016-08-13,completada,5.0,5.5,media
150,28,Tarea genérica 150,2016-12-24,2016-12-29,completada,5.0,5.5,media
151,28,Tarea genérica 151,2016-11-08,2016-11-13,completada,5.0,5.5,media
152,28,Tarea genérica 152,2016-06-01,2016-06-06,completada,5.0,5.5,media
153,29,Tarea genérica 153,2016-10-29,2016-11-03,completada,5.0,5.5,media
154,29,Tarea genérica 154,2016-05-11,2016-05-16,completada,5.0,5.5,media
155,29,Tarea genérica 155,2016-08-05,2016-08-10,completada,5.0,5.5,media
156,29,Tarea genérica 156,2016-11-30,2016-12-05,completada,5.0,5.5,media
157,29,Tarea genérica 157,2016-03-29,2016-04-03,completada,5.0,5.5,media
