id_hecho_calidad,nombre_proyecto,id_tiempo,tipo_prueba,severidad,cantidad_defectos_encontrados
1,Proy-2019-visualiza,20190527,sistema,nula,0
2,Proy-2019-visualiza,20190528,integración,nula,0
3,Proy-2019-visualiza,20190529,sistema,nula,0
4,Proy-2019-visualiza,20190530,integración,crítica,1
5,Proy-2019-visualiza,20190530,integración,media,1
6,Proy-2019-visualiza,20190531,integración,nula,0
7,Proy-2019-visualiza,20190602,sistema,nula,0
8,Proy-2019-visualiza,20190604,sistema,nula,0
9,Proy-2019-visualiza,20190605,integración,nula,0
10,Proy-2019-visualiza,20190606,integración,nula,0
11,Proy-2019-visualiza,20190609,integración,nula,0
12,Proy-2019-visualiza,20190609,sistema,nula,0
13,Proy-2019-visualiza,20190610,integración,nula,0
14,Proy-2019-visualiza,20190611,integración,nula,0
15,Proy-2019-visualiza,20190611,sistema,nula,0
16,Proy-2019-visualiza,20190614,sistema,nula,0
17,Proy-2019-visualiza,20190615,integración,media,1
18,Proy-2019-visualiza,20190615,integración,nula,0
19,Proy-2019-visualiza,20190616,integración,nula,0
20,Proy-2019-visualiza,20190617,integración,nula,0
21,Proy-2019-visualiza,20190618,integración,nula,0
22,Proy-2019-visualiza,20190620,integración,nula,0
23,Proy-2019-visualiza,20190620,sistema,nula,0
24,Proy-2019-visualiza,20190621,sistema,alta,1
25,Proy-2019-visualiza,20190621,sistema,media,1
26,Proy-2019-visualiza,20190621,sistema,nula,0
27,Proy-2019-visualiza,20190622,integración,baja,1
28,Proy-2019-visualiza,20190622,integración,nula,0
29,Proy-2019-visualiza,20190622,sistema,nula,0
30,Proy-2019-visualiza,20190623,integración,nula,0
31,Proy-2019-visualiza,20190623,sistema,nula,0
32,Proy-2019-visualiza,20190624,integración,nula,0
33,Proy-2019-visualiza,20190624,sistema,nula,0
34,Proy-2019-visualiza,20190625,integración,media,1
35,Proy-2019-visualiza,20190626,integración,nula,0
36,Proy-2019-visualiza,20190627,integración,baja,1
37,Proy-2019-visualiza,20190627,integración,nula,0
38,Proy-2019-visualiza,20190627,sistema,nula,0
39,Proy-2019-visualiza,20190628,integración,media,1
40,Proy-2019-visualiza,20190628,integración,nula,0
41,Proy-2019-visualiza,20190629,sistema,nula,0
42,Proy-2019-visualiza,20190630,integración,nula,0
43,Proy-2019-visualiza,20190701,integración,nula,0
44,Proy-2019-visualiza,20190701,sistema,crítica,2
45,Proy-2019-visualiza,20190701,sistema,nula,0
46,Proy-2019-visualiza,20190702,integración,nula,0
47,Proy-2019-visualiza,20190702,sistema,media,1
48,Proy-2019-visualiza,20190702,sistema,nula,0
49,Proy-2019-visualiza,20190703,integración,nula,0
50,Proy-2019-visualiza,20190703,sistema,nula,0
51,Proy-2019-visualiza,20190704,sistema,baja,1
52,Proy-2019-visualiza,20190704,sistema,nula,0
53,Proy-2019-visualiza,20190705,integración,nula,0
54,Proy-2019-visualiza,20190705,sistema,nula,0
55,Proy-2019-visualiza,20190706,sistema,nula,0
56,Proy-2019-visualiza,20190707,integración,nula,0
57,Proy-2019-visualiza,20190708,sistema,nula,0
58,Proy-2022-crece,20221231,integración,nula,0
59,Proy-2022-crece,20230103,sistema,baja,1
60,Proy-2022-crece,20230221,integración,nula,0
61,Proy-2022-crece,20230303,sistema,nula,0
62,Proy-2022-crece,20230312,integración,nula,0
63,Proy-2022-crece,20230405,sistema,crítica,1
64,Proy-2022-crece,20230417,integración,nula,0
65,Proy-2022-crece,20230419,integración,nula,0
66,Proy-2022-crece,20230509,integración,nula,0
67,Proy-2022-crece,20230509,sistema,nula,0
68,Proy-2022-crece,20230511,sistema,nula,0
69,Proy-2022-crece,20230514,sistema,nula,0
70,Proy-2022-crece,20230519,sistema,nula,0
71,Proy-2022-crece,20230520,integración,media,1
72,Proy-2022-crece,20230522,integración,alta,1
73,Proy-2022-crece,20230524,sistema,nula,0
74,Proy-2022-crece,20230526,sistema,crítica,1
75,Proy-2022-crece,20230531,sistema,nula,0
76,Proy-2022-crece,20230604,integración,media,1
77,Proy-2022-crece,20230605,integración,nula,0
78,Proy-2022-crece,20230608,integración,nula,0
79,Proy-2022-crece,20230629,integración,nula,0
80,Proy-2022-crece,20230702,sistema,nula,0
81,Proy-2022-crece,20230703,sistema,nula,0
82,Proy-2022-crece,20230705,integración,nula,0
83,Proy-2022-crece,20230707,integración,nula,0
84,Proy-2022-crece,20230710,sistema,baja,1
85,Proy-2022-crece,20230718,sistema,nula,0
86,Proy-2022-crece,20230720,sistema,nula,0
87,Proy-2022-crece,20230723,sistema,nula,0
88,Proy-2022-crece,20230724,sistema,baja,1
89,Proy-2022-crece,20230725,integración,nula,0
90,Proy-2022-crece,20230727,integración,media,1
91,Proy-2022-crece,20230728,integración,nula,0
92,Proy-2022-crece,20230729,integración,nula,0
93,Proy-2022-crece,20230730,integración,nula,0
94,Proy-2022-crece,20230803,sistema,nula,0
95,Proy-2022-crece,20230804,sistema,nula,0
96,Proy-2022-crece,20230805,sistema,nula,0
