id_hecho_calidad,id_proyecto,id_tiempo,tipo_prueba,severidad,cantidad_defectos_encontrados
1,1,20190527,sistema,nula,0
2,1,20190528,integración,nula,0
3,1,20190529,sistema,nula,0
4,1,20190530,integración,crítica,1
5,1,20190530,integración,media,1
6,1,20190531,integración,nula,0
7,1,20190602,sistema,nula,0
8,1,20190604,sistema,nula,0
9,1,20190605,integración,nula,0
10,1,20190606,integración,nula,0
11,1,20190609,integración,nula,0
12,1,20190609,sistema,nula,0
13,1,20190610,integración,nula,0
14,1,20190611,integración,nula,0
15,1,20190611,sistema,nula,0
16,1,20190614,sistema,nula,0
17,1,20190615,integración,media,1
18,1,20190615,integración,nula,0
19,1,20190616,integración,nula,0
20,1,20190617,integración,nula,0
21,1,20190618,integración,nula,0
22,1,20190620,integración,nula,0
23,1,20190620,sistema,nula,0
24,1,20190621,sistema,alta,1
25,1,20190621,sistema,media,1
26,1,20190621,sistema,nula,0
27,1,20190622,integración,baja,1
28,1,20190622,integración,nula,0
29,1,20190622,sistema,nula,0
30,1,20190623,integración,nula,0
31,1,20190623,sistema,nula,0
32,1,20190624,integración,nula,0
33,1,20190624,sistema,nula,0
34,1,20190625,integración,media,1
35,1,20190626,integración,nula,0
36,1,20190627,integración,baja,1
37,1,20190627,integración,nula,0
38,1,20190627,sistema,nula,0
39,1,20190628,integración,media,1
40,1,20190628,integración,nula,0
41,1,20190629,sistema,nula,0
42,1,20190630,integración,nula,0
43,1,20190701,integración,nula,0
44,1,20190701,sistema,crítica,2
45,1,20190701,sistema,nula,0
46,1,20190702,integración,nula,0
47,1,20190702,sistema,media,1
48,1,20190702,sistema,nula,0
49,1,20190703,integración,nula,0
50,1,20190703,sistema,nula,0
51,1,20190704,sistema,baja,1
52,1,20190704,sistema,nula,0
53,1,20190705,integración,nula,0
54,1,20190705,sistema,nula,0
55,1,20190706,sistema,nula,0
56,1,20190707,integración,nula,0
57,1,20190708,sistema,nula,0
58,2,20221231,integración,nula,0
59,2,20230103,sistema,baja,1
60,2,20230221,integración,nula,0
61,2,20230303,sistema,nula,0
62,2,20230312,integración,nula,0
63,2,20230405,sistema,crítica,1
64,2,20230417,integración,nula,0
65,2,20230419,integración,nula,0
66,2,20230509,integración,nula,0
67,2,20230509,sistema,nula,0
68,2,20230511,sistema,nula,0
69,2,20230514,sistema,nula,0
70,2,20230519,sistema,nula,0
71,2,20230520,integración,media,1
72,2,20230522,integración,alta,1
73,2,20230524,sistema,nula,0
74,2,20230526,sistema,crítica,1
75,2,20230531,sistema,nula,0
76,2,20230604,integración,media,1
77,2,20230605,integración,nula,0
78,2,20230608,integración,nula,0
79,2,20230629,integración,nula,0
80,2,20230702,sistema,nula,0
81,2,20230703,sistema,nula,0
82,2,20230705,integración,nula,0
83,2,20230707,integración,nula,0
84,2,20230710,sistema,baja,1
85,2,20230718,sistema,nula,0
86,2,20230720,sistema,nula,0
87,2,20230723,sistema,nula,0
88,2,20230724,sistema,baja,1
89,2,20230725,integración,nula,0
90,2,20230727,integración,media,1
91,2,20230728,integración,nula,0
92,2,20230729,integración,nula,0
93,2,20230730,integración,nula,0
94,2,20230803,sistema,nula,0
95,2,20230804,sistema,nula,0
96,2,20230805,sistema,nula,0
